variant,topic,exact_match,answer_in_extracted,answer_in_raw
baseline_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.03,0.05,0.09
baseline_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.31,0.4,0.51
baseline_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.41,0.57,0.67
few_shot_cot_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.06,0.09,0.23
few_shot_cot_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.03,0.05,0.6
few_shot_cot_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.17,0.17,0.87
instructions_baseline_few_shot_cot_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.03,0.08,0.23
instructions_baseline_few_shot_cot_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.14,0.16,0.55
instructions_baseline_few_shot_cot_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.17,0.17,0.78
instructions_baseline_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.04,0.05,0.07
instructions_baseline_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.36,0.5,0.57
instructions_baseline_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.42,0.54,0.67
instructions_concise_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.06,0.06,0.09
instructions_concise_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.2,0.36,0.46
instructions_concise_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.44,0.61,0.7
instructions_graduate_few_shot_cot_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.05,0.09,0.24
instructions_graduate_few_shot_cot_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.22,0.23,0.53
instructions_graduate_few_shot_cot_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.17,0.17,0.81
instructions_graduate_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.06,0.06,0.08
instructions_graduate_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.35,0.48,0.57
instructions_graduate_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.51,0.6,0.7
instructions_high_school_few_shot_cot_meta_llama_llama_3.2_3b_instruct,algebra__polynomial_roots_composed,0.06,0.08,0.24
instructions_high_school_few_shot_cot_meta_llama_llama_3.2_3b_instruct,calculus__differentiate_composed,0.23,0.27,0.51
instructions_high_school_few_shot_cot_meta_llama_llama_3.2_3b_instruct,numbers__list_prime_factors_composed,0.17,0.17,0.93
